call_id,actor_id,gender,emotion,emotion_confidence,sentiment,sentiment_score,duration_sec,csat_score,risk_flag,transcript
1001_DFA_ANG_XX.wav,1001,Male,angry,0.818,NEGATIVE,-0.817,2.28,9.15,1,Don't forget a jacket
1001_DFA_DIS_XX.wav,1001,Male,disgust,0.706,NEGATIVE,-0.85,2.34,7.5,0,Don't forget a jacket.
1001_DFA_FEA_XX.wav,1001,Male,fearful,0.815,NEGATIVE,-0.71,2.17,14.5,0,Don't forget to jack it!
1001_DFA_HAP_XX.wav,1001,Male,happy,0.997,POSITIVE,0.888,1.87,94.4,0,Don't forget a jacket!
1001_DFA_NEU_XX.wav,1001,Male,neutral,0.825,NEUTRAL,-0.026,2.04,48.7,0,Don't forget a jacket
1001_DFA_SAD_XX.wav,1001,Male,sad,0.803,NEGATIVE,-0.82,2,9,0,Don't forget to check it
1001_IEO_ANG_HI.wav,1001,Male,angry,0.963,NEGATIVE,-0.753,1.94,12.35,1,It's 11 o'clock!
1001_IEO_ANG_LO.wav,1001,Male,fearful,0.665,NEGATIVE,-0.785,2.07,10.75,0,There's a little bit of clock.
1001_IEO_ANG_MD.wav,1001,Male,disgust,0.958,NEGATIVE,-0.814,2.64,9.3,0,It's 11 o'clock.
1001_IEO_DIS_HI.wav,1001,Male,disgust,0.763,NEGATIVE,-0.831,2,8.45,0,It's 11 o'clock.
1001_IEO_DIS_LO.wav,1001,Male,disgust,0.556,NEGATIVE,-0.845,2,7.75,0,It's 11 o'clock.
1001_IEO_DIS_MD.wav,1001,Male,disgust,0.981,NEGATIVE,-0.87,1.9,6.5,0,It's 11 o'clock.
1001_IEO_FEA_HI.wav,1001,Male,fearful,0.399,NEGATIVE,-0.703,1.57,14.85,0,Is the level of the clock?
1001_IEO_FEA_LO.wav,1001,Male,fearful,0.598,NEGATIVE,-0.714,1.53,14.3,0,It's 11 o'clock.
1001_IEO_FEA_MD.wav,1001,Male,happy,0.627,POSITIVE,0.857,1.6,92.85,0,It's a low-key clock.
1001_IEO_HAP_HI.wav,1001,Male,happy,0.989,POSITIVE,0.819,1.77,90.95,0,It's 11 o'clock!
1001_IEO_HAP_LO.wav,1001,Male,happy,0.825,POSITIVE,0.883,1.7,94.15,0,It's 11 o'clock.
1001_IEO_HAP_MD.wav,1001,Male,happy,0.995,POSITIVE,0.896,1.67,94.8,0,It's 11 o'clock.
1001_IEO_NEU_XX.wav,1001,Male,neutral,0.996,NEUTRAL,-0.036,1.6,48.2,0,Guess 11 o'clock.
1001_IEO_SAD_HI.wav,1001,Male,sad,0.652,NEGATIVE,-0.764,2,11.8,0,It's 11 o'clock
1001_IEO_SAD_LO.wav,1001,Male,sad,0.691,NEGATIVE,-0.806,1.9,9.7,0,It's 11 o'clock.
1001_IEO_SAD_MD.wav,1001,Male,sad,0.931,NEGATIVE,-0.717,1.74,14.15,0,Slow to clock.
1001_IOM_ANG_XX.wav,1001,Male,fearful,0.52,NEGATIVE,-0.823,2.14,8.85,0,I want my way to the meeting.
1001_IOM_DIS_XX.wav,1001,Male,disgust,0.52,NEGATIVE,-0.787,2.27,10.65,0,I'm on my way to the beethek.
1001_IOM_FEA_XX.wav,1001,Male,fearful,0.815,NEGATIVE,-0.763,2.84,11.85,0,I'm on my way to the meeting.
1001_IOM_HAP_XX.wav,1001,Male,happy,0.871,POSITIVE,0.755,2,87.75,0,I'm on my way to the meeting.
1001_IOM_NEU_XX.wav,1001,Male,neutral,0.501,NEUTRAL,-0.072,2.47,46.4,0,I'm on my way to the meeting.
1001_IOM_SAD_XX.wav,1001,Male,sad,0.797,NEGATIVE,-0.84,1.94,8,0,I'm on my way to the meeting.
1001_ITH_ANG_XX.wav,1001,Male,angry,0.681,NEGATIVE,-0.819,2.37,9.05,1,I think I have a doctor's appointment.
1001_ITH_DIS_XX.wav,1001,Male,disgust,0.422,NEGATIVE,-0.869,2.17,6.55,0,I think I have a doctor's appointment.
1001_ITH_FEA_XX.wav,1001,Male,happy,0.903,POSITIVE,0.851,2.1,92.55,0,I think I have a doctor's support bit.
1001_ITH_HAP_XX.wav,1001,Male,happy,0.983,POSITIVE,0.768,2.47,88.4,0,I think I have a doctor's appointment.
1001_ITH_NEU_XX.wav,1001,Male,neutral,0.965,NEUTRAL,0.054,2.6,52.7,0,I think I have a doctor's appointment.
1001_ITH_SAD_XX.wav,1001,Male,sad,0.947,NEGATIVE,-0.821,2.37,8.95,0,I think I have a doctor's appointment.
1001_ITS_ANG_XX.wav,1001,Male,angry,0.996,NEGATIVE,-0.774,2.57,11.3,1,I think I've seen this before.
1001_ITS_DIS_XX.wav,1001,Male,disgust,0.668,NEGATIVE,-0.819,2.2,9.05,0,I think I've seen this before.
1001_ITS_FEA_XX.wav,1001,Male,happy,0.961,POSITIVE,0.899,2.14,94.95,0,I think I've seen this before.
1001_ITS_HAP_XX.wav,1001,Male,happy,0.99,POSITIVE,0.857,2.2,92.85,0,I think I've seen this before.
1001_ITS_NEU_XX.wav,1001,Male,neutral,1,NEUTRAL,0.049,2.44,52.45,0,I think I've seen this before.
1001_ITS_SAD_XX.wav,1001,Male,sad,0.612,NEGATIVE,-0.896,2.67,5.2,0,I think I've seen this before.
1001_IWL_ANG_XX.wav,1001,Male,angry,0.928,NEGATIVE,-0.823,3.17,8.85,1,I would like a new alarm clock.
1001_IWL_DIS_XX.wav,1001,Male,disgust,0.915,NEGATIVE,-0.733,2.57,13.35,0,I would like to do a alarm clock.
1001_IWL_FEA_XX.wav,1001,Male,happy,0.857,POSITIVE,0.862,2.37,93.1,0,I would like to do a long clock
1001_IWL_HAP_XX.wav,1001,Male,happy,0.999,POSITIVE,0.71,2.1,85.5,0,I would like a new alarm clock!
1001_IWL_NEU_XX.wav,1001,Male,neutral,0.98,NEUTRAL,-0.083,2.84,45.85,0,I would like to do a Lord clock.
1001_IWL_SAD_XX.wav,1001,Male,sad,0.746,NEGATIVE,-0.752,2.84,12.4,0,I would like to do a alarm clock.
1001_IWW_ANG_XX.wav,1001,Male,angry,0.697,NEGATIVE,-0.787,2.28,10.65,1,I wonder what this is about.
1001_IWW_DIS_XX.wav,1001,Male,disgust,0.457,NEGATIVE,-0.758,2.07,12.1,0,I wonder what this is about.
1001_IWW_FEA_XX.wav,1001,Male,fearful,0.879,NEGATIVE,-0.86,2.2,7,0,I want you what this is about.
1001_IWW_HAP_XX.wav,1001,Male,neutral,0.774,NEUTRAL,-0.055,1.97,47.25,0,I wonder what this is about?
1001_IWW_NEU_XX.wav,1001,Male,neutral,0.977,NEUTRAL,-0.062,2.27,46.9,0,I wonder what this is about.
1001_IWW_SAD_XX.wav,1001,Male,sad,0.682,NEGATIVE,-0.737,2.04,13.15,0,I wonder what this is about.
1001_MTI_ANG_XX.wav,1001,Male,angry,0.803,NEGATIVE,-0.752,3,12.4,1,Maybe tomorrow it will be cold.
1001_MTI_DIS_XX.wav,1001,Male,disgust,0.918,NEGATIVE,-0.857,2.94,7.15,0,Maybe tomorrow it will be cold.
1001_MTI_FEA_XX.wav,1001,Male,happy,0.612,POSITIVE,0.745,2.37,87.25,0,Maybe tomorrow will be cold.
1001_MTI_HAP_XX.wav,1001,Male,happy,0.74,POSITIVE,0.739,2.37,86.95,0,Maybe tomorrow it will be cold.
1001_MTI_NEU_XX.wav,1001,Male,neutral,0.993,NEUTRAL,0.071,2.3,53.55,0,Maybe tomorrow it will be cold.
1001_MTI_SAD_XX.wav,1001,Male,sad,0.528,NEGATIVE,-0.877,2.3,6.15,0,Maybe tomorrow it will be cold.
